Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,UA,RU,OTHER
1,2,ЗА ДЕНЬГИ ДА,Instasamka,7,961037,-15.50%,https://www.youtube.com/watch?v=iZEca2A3tS4,0,RU,0
2,6,Монро,Slavik Pogosov,4,947991,-1.80%,https://www.youtube.com/watch?v=62MxX43jHXs,0,RU,0
3,1,Чути гімн,Skofka,24,908070,-22.20%,https://www.youtube.com/watch?v=ia50r3fa67s,UA,0,0
4,7,Там у тополі,Артем Пивоваров & NK,9,897937,-1%,https://www.youtube.com/watch?v=m0u7iM6Xwxw,UA,0,0
5,3,Провела екскурсію,Parfeniuk,5,880999,-22.30%,https://www.youtube.com/watch?v=Ryfm-7ZrL-Y,UA,0,0
6,5,Батьківщина,Skofka & KALUSH,4,764039,-23.60%,https://www.youtube.com/watch?v=CSoCoSHyU5Y,UA,0,0
7,4,Щоб не було,Дорофеєва Надія,5,757239,-24.30%,https://www.youtube.com/watch?v=024jiVWdPqA,UA,0,0
8,11,думи,Артем Пивоваров & Дорофеєва Надія,32,682872,-7.60%,https://www.youtube.com/watch?v=dZzfjLPC-Rk,UA,0,0
9,13,Чекає вдома,YAKTAK,3,651927,-5.30%,https://www.youtube.com/watch?v=ed0aLnuNw_U,UA,0,0
10,15,Додому,Wellboy,4,611920,-8.10%,https://www.youtube.com/watch?v=-BaUkgUgyEE,UA,0,0
11,10,"Ти щаслива будеш (Гай, зелений гай)",Dima Prokopov,6,609260,-19.90%,https://www.youtube.com/watch?v=w9l7hWlRJ5w,UA,0,0
12,8,Bloody Mary,Lady Gaga,6,600657,-27.70%,https://www.youtube.com/watch?v=VFwmKL5OL-Q,0,0,OTHER
13,9,Stefania,KALUSH & Kalush Orchestra,49,594105,-23%,https://www.youtube.com/watch?v=Z8Z51no1TD0,UA,0,0
14,16,ДИКЕ ПОЛЕ (feat. Алиса),YARMAK,36,540917,-17.80%,https://www.youtube.com/watch?v=mOOClonYKmc,UA,0,0
15,17,Ой на горі,Артем Пивоваров,27,537784,-11%,https://www.youtube.com/watch?v=vRQUhObXDGU,UA,0,0
16,12,Вечорниці (Добрий день Everybody),100лиця & SKYLERR,26,536020,-24.50%,https://www.youtube.com/watch?v=qqrLTNqAfWs,UA,0,0
17,14,Ластівки,Qatoshi & Chico,30,535851,-21.50%,https://www.youtube.com/watch?v=vCNmvFIFQ-I,UA,0,0
18,21,Враже,ANGY KREYDA,29,470456,-11.60%,https://www.youtube.com/watch?v=cdEEffF7_rU,UA,0,0
19,18,По барам,ANNA ASTI,31,464893,-22.10%,https://www.youtube.com/watch?v=Cf2ASJCa_Iw,0,RU,0
20,20,Ванька-Встанька,Маша Краш,26,437182,-20.20%,https://www.youtube.com/watch?v=lV9q901vS6o,UA,0,0
21,26,Незламна,ЛЮСЯ КАВА,30,394845,-10.70%,https://www.youtube.com/watch?v=-ZuCAA_93wc,UA,0,0
