Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,UA,RU,OTHER
1,1,Фортеця Бахмут,Антитіла,3,1294824,-27.6%,https://www.youtube.com/watch?v=OmqLVrUXsTQ,UA,0,0
2,3,Чекає вдома,YAKTAK,9,972549,-1.9%,https://www.youtube.com/watch?v=ed0aLnuNw_U,UA,0,0
3,4,Чути гімн,Skofka,30,853308,-3%,https://www.youtube.com/watch?v=ia50r3fa67s,UA,0,0
4,2,Flowers,Miley Cyrus,6,851384,-19.8%,https://www.youtube.com/watch?v=G7KNmW9a75Y,0,0,OTHER
5,5,Там у тополі,Артем Пивоваров & NK,15,785789,-5.4%,https://www.youtube.com/watch?v=m0u7iM6Xwxw,UA,0,0
6,7,"Ти щаслива будеш (Гай, зелений гай)",Dima Prokopov,12,715670,-2.7%,https://www.youtube.com/watch?v=w9l7hWlRJ5w,UA,0,0
7,9,Щоб не було,Дорофеєва Надія,11,679655,-2.2%,https://www.youtube.com/watch?v=024jiVWdPqA,UA,0,0
8,10,Додому,Wellboy,10,675095,0.5%,https://www.youtube.com/watch?v=-BaUkgUgyEE,UA,0,0
9,8,Провела екскурсію,Parfeniuk,11,674642,-7.6%,https://www.youtube.com/watch?v=Ryfm-7ZrL-Y,UA,0,0
10,11,Вечорниці (Добрий день Everybody),100лиця & SKYLERR,32,627755,-2.7%,https://www.youtube.com/watch?v=qqrLTNqAfWs,UA,0,0
11,,Люди,MamaRika & KOLA,1,606422,,https://www.youtube.com/watch?v=n9loCK--fGA,UA,0,0
12,12,Батьківщина,Skofka & KALUSH,10,592308,-6%,https://www.youtube.com/watch?v=CSoCoSHyU5Y,UA,0,0
13,6,ЗА ДЕНЬГИ ДА,Instasamka,13,583649,-23.7%,https://www.youtube.com/watch?v=iZEca2A3tS4,0,RU,0
14,13,думи,Артем Пивоваров & Дорофеєва Надія,38,583194,-4.6%,https://www.youtube.com/watch?v=dZzfjLPC-Rk,UA,0,0
15,16,ДИКЕ ПОЛЕ (feat. Алиса),YARMAK,42,568067,6.4%,https://www.youtube.com/watch?v=mOOClonYKmc,UA,0,0
16,17,Маніфест,Артем Пивоваров,8,556806,7%,https://www.youtube.com/watch?v=g9EUQ4vdebQ,UA,0,0
17,18,Повільно,Adam,3,548597,6%,https://www.youtube.com/watch?v=op2JkITZKd4,UA,0,0
18,14,вотсап,Дорофеєва Надія,4,543275,-10.8%,https://www.youtube.com/watch?v=N9zc1Npy9iE,UA,0,0
19,20,Ластівки,Qatoshi & Chico,36,525600,6.2%,https://www.youtube.com/watch?v=vCNmvFIFQ-I,UA,0,0
20,19,Враже,ANGY KREYDA,35,525073,6.1%,https://www.youtube.com/watch?v=cdEEffF7_rU,UA,0,0
21,15,Монро,Slavik Pogosov,10,514916,-5.8%,https://www.youtube.com/watch?v=62MxX43jHXs,0,RU,0
22,,Big Bad Wolf,Duck Sauce,1,506176,,https://www.youtube.com/watch?v=XKMoVAObbhE,0,0,OTHER
23,21,Незламна,ЛЮСЯ КАВА,36,452466,-4.7%,https://www.youtube.com/watch?v=-ZuCAA_93wc,UA,0,0
24,23,Гуляли,KOZAK SIROMAHA,9,436374,-0.3%,https://www.youtube.com/watch?v=nFet6yCeOPk,UA,0,0
25,22,Ой на горі,Артем Пивоваров,33,428984,-8.6%,https://www.youtube.com/watch?v=vRQUhObXDGU,UA,0,0
26,24,По барам,ANNA ASTI,37,415133,-1.4%,https://www.youtube.com/watch?v=Cf2ASJCa_Iw,0,RU,0
27,27,Не забудем і не пробачим,Skofka,42,406828,0.8%,https://www.youtube.com/watch?v=b9EJWtj5ZjI,UA,0,0
28,29,Чорне і біле,ZOZULYA,46,390671,-1.3%,https://www.youtube.com/watch?v=he1v2LSai5U,UA,0,0
29,28,Цей сон (Live),Степан Гіга,38,383434,-3.3%,https://www.youtube.com/watch?v=2eqMmPBvXQo,UA,0,0
30,26,Біля тополі,SHUMEI,46,377474,-6.6%,https://www.youtube.com/watch?v=OdgBmb8LXKM,UA,0,0
31,33,Силуети,SadSvit & СТРУКТУРА ЩАСТЯ,17,363507,9.3%,https://www.youtube.com/watch?v=NjDMzkRbSZI,UA,0,0
32,31,Україна переможе!,"Олександр Валерійович Пономарьов, Михайло Хома, Тарас Тополя, --, -- & Петро Чорний",45,344651,0.3%,https://www.youtube.com/watch?v=fRuiEv3JRDQ,UA,0,0
33,32,Біля серця,KOLA,23,344459,2.9%,https://www.youtube.com/watch?v=A3iPwFeleY8,UA,0,0
34,30,Ванька-Встанька,Маша Кондратенко,32,341712,-8.6%,https://www.youtube.com/watch?v=lV9q901vS6o,UA,0,0
35,73,"Пісня вітру (З м/ф ""Мавка. Лісова пісня"")",Артем Пивоваров & Христина Соловій,2,340478,90.5%,https://www.youtube.com/watch?v=vCgxufg6xzE,UA,0,0
36,37,Гарно так,Cheev,35,322792,2.7%,https://www.youtube.com/watch?v=1gxLVS3erwM,UA,0,0
37,36,Відьма,Vsivdoma,4,316758,0.4%,https://www.youtube.com/watch?v=PyVSfWyEdNs,UA,0,0
38,25,Бахмут,Спів Братів,6,304677,-24.9%,https://www.youtube.com/watch?v=7AYy77bxaB0,UA,0,0
39,35,Bloody Mary,Lady Gaga,11,300968,-6.4%,https://www.youtube.com/watch?v=VFwmKL5OL-Q,0,0,OTHER
40,48,Троянди,100лиця,4,299705,21.5%,https://www.youtube.com/watch?v=N7fV2TaLTEQ,UA,0,0
41,34,Марiчка,PATSYKI Z FRANEKA,49,296494,-9.5%,https://www.youtube.com/watch?v=rHaw1MpOIzg,UA,0,0
42,44,All Eyez on Me (Gangsta Remix),Dj Belite & 2Pac,6,284889,8.7%,https://www.youtube.com/watch?v=vYMTs-AP9_Q,0,0,OTHER
43,39,Ты так красива,Quest Pistols,11,278167,-9.3%,https://www.youtube.com/watch?v=mYcl6p3oiCc,UA,0,0
44,,Волонтер,Олексій Потапенко,1,274328,,https://www.youtube.com/watch?v=wXm0qsIlAbg,UA,0,0
45,41,Народна,ЛЮСЯ КАВА,11,269881,-3.9%,https://www.youtube.com/watch?v=UYXcryt21m8,UA,0,0
46,38,Який ти козак,Анна Трінчер & POSITIFF,19,269368,-14.2%,https://www.youtube.com/watch?v=abqLDv5LlHE,UA,0,0
47,,МОЯ КРАЇНА (feat. TOF),YARMAK,26,257613,,https://www.youtube.com/watch?v=wtuVa-mOknA,UA,0,0
48,45,В дорогу,Skofka,50,254502,-2%,https://www.youtube.com/watch?v=1j4qxGVxxhg,UA,0,0
49,,інша любов,ENLEO,26,252346,,https://www.youtube.com/watch?v=0o0iK-ufovM,UA,0,0
50,55,Лелека (feat. YAKTAK),MamaRika,9,249234,9%,https://www.youtube.com/watch?v=zGJePzQHKLg,UA,0,0
51,49,Думав вона янгол,Колін,12,243181,0%,https://www.youtube.com/watch?v=F9mMnWcYXQ0,UA,0,0
52,43,METAMORPHOSIS,INTERWORLD,20,238583,-9.9%,https://www.youtube.com/watch?v=lJvRohYSrZM,0,0,OTHER
53,47,Зай,Анна Трінчер,15,238430,-7.6%,https://www.youtube.com/watch?v=ZzvbP0dYSAI,UA,0,0
54,,Бульбашки,Марія Арбузова,1,231371,,https://www.youtube.com/watch?v=ZdcEZihKqKg,UA,0,0
55,80,Тебе - собі,KOLA,2,228237,35.9%,https://www.youtube.com/watch?v=C96ielMqDbQ,UA,0,0
56,40,КАК MOMMY,Instasamka,9,220148,-26.9%,https://www.youtube.com/watch?v=l3vQ0pczKnE,0,RU,0
57,57,Жовті мальви,Wellboy,2,214995,0.3%,https://www.youtube.com/watch?v=osb8QXubZD0,UA,0,0
58,,Не мовчи,YAKTAK,9,214924,,https://www.youtube.com/watch?v=JulDOMKkE70,UA,0,0
59,,Воїни світла,Ляпис Трубецкой,24,213318,,https://www.youtube.com/watch?v=ayDNTDcZok8,0,0,OTHER
60,51,Моя хулиганка,Xolidayboy,17,212235,-11.3%,https://www.youtube.com/watch?v=u-gaETffwYM,0,RU,0
61,54,Сіґеле-міґеле,NAZVA,7,205636,-11.4%,https://www.youtube.com/watch?v=T_Pep6MW1wc,UA,0,0
62,56,Полярная звезда,MOSOVICH & Batrai,14,205005,-7.1%,https://www.youtube.com/watch?v=mZGb_R_dmeA,0,RU,0
63,63,Mockingbird,Eminem,19,200503,-1.4%,https://www.youtube.com/watch?v=S9bCLPwzSC0,0,0,OTHER
64,,Отключаю телефон,Instasamka,1,195752,,https://www.youtube.com/watch?v=AXO2i4Edl1c,0,RU,0
65,,Буратино,Sivchik & Ульяна Столярова,1,194569,,https://www.youtube.com/watch?v=1H_83aLO0rk,0,RU,0
66,70,I'm Good (Blue),David Guetta & Bebe Rexha,8,193727,6.4%,https://www.youtube.com/watch?v=90RLzVUuXe4,0,0,OTHER
67,78,Deutschland,Rammstein,17,190180,9.9%,https://www.youtube.com/watch?v=NeQM1c-XCDc,0,0,OTHER
68,,Sonne,Grandma's Smuzi,1,186913,,https://www.youtube.com/watch?v=bSPKqa-jXSI,UA,0,0
69,74,Василина,DZIDZIO & Іван Попович,16,177743,-0.4%,https://www.youtube.com/watch?v=iYePSq0UOfA,UA,0,0
70,79,SPIT IN MY FACE!,ThxSoMch,11,175725,3.2%,https://www.youtube.com/watch?v=h54g3lvGhaI,0,0,OTHER
71,65,Нумо Козаки,KALUSH & KOZAK SIROMAHA,12,172156,-10.2%,https://www.youtube.com/watch?v=5CvzbWXn7_U,UA,0,0
72,91,Him & I,G-Eazy & Halsey,3,171105,14.1%,https://www.youtube.com/watch?v=SA7AIQw-7Ms,0,0,OTHER
