Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,UA,RU,OTHER
1,1,Flowers,Miley Cyrus,2,1697380,84.7%,https://www.youtube.com/watch?v=G7KNmW9a75Y,0,0,OTHER
2,2,Чути гімн,Skofka,26,826750,-3.2%,https://www.youtube.com/watch?v=ia50r3fa67s,UA,0,0
3,3,ЗА ДЕНЬГИ ДА,Instasamka,9,775176,-5.8%,https://www.youtube.com/watch?v=iZEca2A3tS4,0,RU,0
4,5,Там у тополі,Артем Пивоваров & NK,11,754477,-3.7%,https://www.youtube.com/watch?v=m0u7iM6Xwxw,UA,0,0
5,4,Провела екскурсію,Parfeniuk,7,754009,-4.7%,https://www.youtube.com/watch?v=Ryfm-7ZrL-Y,UA,0,0
6,9,Щоб не було,Дорофеєва Надія,7,664404,-0.2%,https://www.youtube.com/watch?v=024jiVWdPqA,UA,0,0
7,7,Батьківщина,Skofka & KALUSH,6,663547,-6.5%,https://www.youtube.com/watch?v=CSoCoSHyU5Y,UA,0,0
8,6,Монро,Slavik Pogosov,6,640433,-14%,https://www.youtube.com/watch?v=62MxX43jHXs,0,RU,0
9,8,Чекає вдома,YAKTAK,5,605305,-9.3%,https://www.youtube.com/watch?v=ed0aLnuNw_U,UA,0,0
10,10,думи,Артем Пивоваров & Дорофеєва Надія,34,580817,-5.6%,https://www.youtube.com/watch?v=dZzfjLPC-Rk,UA,0,0
11,12,Додому,Wellboy,6,538168,-2.1%,https://www.youtube.com/watch?v=-BaUkgUgyEE,UA,0,0
12,11,Stefania,KALUSH & Kalush Orchestra,51,531324,-3.4%,https://www.youtube.com/watch?v=Z8Z51no1TD0,UA,0,0
13,14,ДИКЕ ПОЛЕ (feat. Алиса),YARMAK,38,487825,0.6%,https://www.youtube.com/watch?v=mOOClonYKmc,UA,0,0
14,15,Вечорниці (Добрий день Everybody),100лиця & SKYLERR,28,486810,1.7%,https://www.youtube.com/watch?v=qqrLTNqAfWs,UA,0,0
15,16,Ой на горі,Артем Пивоваров,29,457317,-3.9%,https://www.youtube.com/watch?v=vRQUhObXDGU,UA,0,0
16,19,Враже,ANGY KREYDA,31,453950,2.4%,https://www.youtube.com/watch?v=cdEEffF7_rU,UA,0,0
