Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,UA,RU,OTHER
1,8,Фортеця Бахмут,Антитіла,2,1788349,155%,https://www.youtube.com/watch?v=OmqLVrUXsTQ,UA,0,0
2,1,Flowers,Miley Cyrus,5,1062219,-12.7%,https://www.youtube.com/watch?v=G7KNmW9a75Y,0,0,OTHER
3,3,Чекає вдома,YAKTAK,8,991557,22.7%,https://www.youtube.com/watch?v=ed0aLnuNw_U,UA,0,0
4,2,Чути гімн,Skofka,29,880134,7.5%,https://www.youtube.com/watch?v=ia50r3fa67s,UA,0,0
5,4,Там у тополі,Артем Пивоваров & NK,14,830418,7.4%,https://www.youtube.com/watch?v=m0u7iM6Xwxw,UA,0,0
6,5,ЗА ДЕНЬГИ ДА,Instasamka,12,765282,0.4%,https://www.youtube.com/watch?v=iZEca2A3tS4,0,RU,0
7,10,"Ти щаслива будеш (Гай, зелений гай)",Dima Prokopov,11,735905,9.6%,https://www.youtube.com/watch?v=w9l7hWlRJ5w,UA,0,0
8,6,Провела екскурсію,Parfeniuk,10,729837,0.1%,https://www.youtube.com/watch?v=Ryfm-7ZrL-Y,UA,0,0
9,9,Щоб не було,Дорофеєва Надія,10,694745,1.3%,https://www.youtube.com/watch?v=024jiVWdPqA,UA,0,0
10,12,Додому,Wellboy,9,671886,12.4%,https://www.youtube.com/watch?v=-BaUkgUgyEE,UA,0,0
11,15,Вечорниці (Добрий день Everybody),100лиця & SKYLERR,31,645506,25.5%,https://www.youtube.com/watch?v=qqrLTNqAfWs,UA,0,0
12,11,Батьківщина,Skofka & KALUSH,9,630046,-0.8%,https://www.youtube.com/watch?v=CSoCoSHyU5Y,UA,0,0
13,14,думи,Артем Пивоваров & Дорофеєва Надія,37,611548,11.3%,https://www.youtube.com/watch?v=dZzfjLPC-Rk,UA,0,0
14,7,вотсап,Дорофеєва Надія,3,608814,-15.2%,https://www.youtube.com/watch?v=N9zc1Npy9iE,UA,0,0
15,13,Монро,Slavik Pogosov,9,546628,-5.9%,https://www.youtube.com/watch?v=62MxX43jHXs,0,RU,0
16,16,ДИКЕ ПОЛЕ (feat. Алиса),YARMAK,41,533869,7.4%,https://www.youtube.com/watch?v=mOOClonYKmc,UA,0,0
17,17,Маніфест,Артем Пивоваров,7,520313,11.8%,https://www.youtube.com/watch?v=g9EUQ4vdebQ,UA,0,0
18,36,Повільно,Adam,2,517511,74.7%,https://www.youtube.com/watch?v=op2JkITZKd4,UA,0,0
19,18,Враже,ANGY KREYDA,34,495094,8.4%,https://www.youtube.com/watch?v=cdEEffF7_rU,UA,0,0
20,20,Ластівки,Qatoshi & Chico,35,494979,12.7%,https://www.youtube.com/watch?v=vCNmvFIFQ-I,UA,0,0
21,19,Незламна,ЛЮСЯ КАВА,35,474975,7.9%,https://www.youtube.com/watch?v=-ZuCAA_93wc,UA,0,0
22,21,Ой на горі,Артем Пивоваров,32,469139,9.5%,https://www.youtube.com/watch?v=vRQUhObXDGU,UA,0,0
23,23,Гуляли,KOZAK SIROMAHA,8,437813,11.2%,https://www.youtube.com/watch?v=nFet6yCeOPk,UA,0,0
24,22,По барам,ANNA ASTI,36,421123,0.6%,https://www.youtube.com/watch?v=Cf2ASJCa_Iw,0,RU,0
25,27,Бахмут,Спів Братів,5,405483,14.5%,https://www.youtube.com/watch?v=7AYy77bxaB0,UA,0,0
